Sample	Shannon	Simpson	Tail	time	site	cultivar	type	replicate	practice	susceptibility	date	treeID
2023-1-COM-EM-FL-2	4.373410636253874	0.9625775741797037	79.63962702772426	May	COM	Empire	Flower	2	Organic	Low	2023-05-15T00:00:00Z	COM_Empire_2
2023-1-COM-EM-LE-1	3.6526974620262584	0.9010275780923401	57.755812150048335	May	COM	Empire	Leaf	1	Organic	Low	2023-05-15T00:00:00Z	COM_Empire_1
2023-1-COM-EM-LE-2	4.026512378010875	0.9374880594100311	68.4653043586574	May	COM	Empire	Leaf	2	Organic	Low	2023-05-15T00:00:00Z	COM_Empire_2
2023-1-COM-EM-LE-3	3.4095024467353183	0.8433948004943321	60.927177078878415	May	COM	Empire	Leaf	3	Organic	Low	2023-05-15T00:00:00Z	COM_Empire_3
2023-1-COM-HC-LE-1	3.3768309154472895	0.8828602568522246	46.81046425097819	May	COM	Honeycrisp	Leaf	1	Organic	Moderate	2023-05-15T00:00:00Z	COM_Honeycrisp_1
2023-1-COM-HC-LE-2	1.3375045793378073	0.49170239150189665	9.14256429826681	May	COM	Honeycrisp	Leaf	2	Organic	Moderate	2023-05-15T00:00:00Z	COM_Honeycrisp_2
2023-1-COM-HC-LE-3	2.8695466666241023	0.8660123047118716	30.116775244595846	May	COM	Honeycrisp	Leaf	3	Organic	Moderate	2023-05-15T00:00:00Z	COM_Honeycrisp_3
2023-1-COM-SP-FL-2	2.7469499671069673	0.820719487959303	22.750508616674495	May	COM	Spartan	Flower	2	Organic	Moderate	2023-05-15T00:00:00Z	COM_Spartan_2
2023-1-COM-SP-LE-1	2.710757547203623	0.7861321371241493	35.67924321374579	May	COM	Spartan	Leaf	1	Organic	Moderate	2023-05-15T00:00:00Z	COM_Spartan_1
2023-1-COM-SP-LE-2	2.4062717236505557	0.7873129777557826	18.33289061369124	May	COM	Spartan	Leaf	2	Organic	Moderate	2023-05-15T00:00:00Z	COM_Spartan_2
2023-1-COM-SP-LE-3	2.224901320427756	0.7155372542882116	25.25666732434217	May	COM	Spartan	Leaf	3	Organic	Moderate	2023-05-15T00:00:00Z	COM_Spartan_3
2023-1-COM-SR-FL-2	2.90934833051502	0.8498330256097899	32.829924554644414	May	COM	Sunrise	Flower	2	Organic	Moderate	2023-05-15T00:00:00Z	COM_Sunrise_2
2023-1-COM-SR-LE-1	2.5984964685603473	0.8045585383237422	18.723528753075755	May	COM	Sunrise	Leaf	1	Organic	Moderate	2023-05-15T00:00:00Z	COM_Sunrise_1
2023-1-COM-SR-LE-2	3.3137702758924017	0.9093417536082615	38.46980234801335	May	COM	Sunrise	Leaf	2	Organic	Moderate	2023-05-15T00:00:00Z	COM_Sunrise_2
2023-1-COM-SR-LE-3	2.542706229757123	0.7263604517790484	32.47160485326267	May	COM	Sunrise	Leaf	3	Organic	Moderate	2023-05-15T00:00:00Z	COM_Sunrise_3
2023-1-MIB-CL-LE-2	2.59527733356469	0.8092247975122685	20.62853664052472	May	MIB	Cortland	Leaf	2	Organic	High	2023-05-25T00:00:00Z	MIB_Cortland_2
2023-1-MIB-CL-LE-3	2.040964184469118	0.6995282277309305	15.676582781046895	May	MIB	Cortland	Leaf	3	Organic	High	2023-05-25T00:00:00Z	MIB_Cortland_3
2023-1-MIB-EM-LE-1	0.9472610044424772	0.28868486782692315	8.083137489296147	May	MIB	Empire	Leaf	1	Organic	Low	2023-05-25T00:00:00Z	MIB_Empire_1
2023-1-MIB-EM-LE-2	1.0860239044600686	0.4440880773165107	4.663036851497261	May	MIB	Empire	Leaf	2	Organic	Low	2023-05-25T00:00:00Z	MIB_Empire_2
2023-1-MIB-HC-LE-1	0.8952304506545361	0.2539230345700808	10.84328484346296	May	MIB	Honeycrisp	Leaf	1	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Honeycrisp_1
2023-1-MIB-HC-LE-2	0.609115420429842	0.16513263131476685	7.4183492746956174	May	MIB	Honeycrisp	Leaf	2	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Honeycrisp_2
2023-1-MIB-HC-LE-3	0.8522833302433068	0.2632065568731634	8.115067719828168	May	MIB	Honeycrisp	Leaf	3	Organic	Moderate	2023-05-25T00:00:00Z	MIB_Honeycrisp_3
2023-1-MIB-LI-LE-2	0.8699393755666134	0.25234458551084016	8.929263017475993	May	MIB	Liberty	Leaf	2	Organic	Low	2023-05-25T00:00:00Z	MIB_Liberty_2
2023-1-MIB-LI-LE-3	4.435251481827267	0.9732322815744447	60.10683882793613	May	MIB	Liberty	Leaf	3	Organic	Low	2023-05-25T00:00:00Z	MIB_Liberty_3
