File	Read_Count
2023-1-COM-EM-LE-1-16S_S89_L001_R1_001.fastq.gz	16584
2023-1-COM-EM-LE-1-16S_S89_L001_R2_001.fastq.gz	16584
2023-1-COM-EM-LE-2-16S_S91_L001_R1_001.fastq.gz	21270
2023-1-COM-EM-LE-2-16S_S91_L001_R2_001.fastq.gz	21270
2023-1-COM-EM-LE-3-16S_S93_L001_R1_001.fastq.gz	17431
2023-1-COM-EM-LE-3-16S_S93_L001_R2_001.fastq.gz	17431
2023-1-COM-HC-LE-1-16S_S79_L001_R1_001.fastq.gz	15732
2023-1-COM-HC-LE-1-16S_S79_L001_R2_001.fastq.gz	15732
2023-1-COM-HC-LE-2-16S_S80_L001_R1_001.fastq.gz	10689
2023-1-COM-HC-LE-2-16S_S80_L001_R2_001.fastq.gz	10689
2023-1-COM-HC-LE-3-16S_S81_L001_R1_001.fastq.gz	17282
2023-1-COM-HC-LE-3-16S_S81_L001_R2_001.fastq.gz	17282
2023-1-COM-SP-FL-1-16S_S82_L001_R1_001.fastq.gz	959
2023-1-COM-SP-FL-1-16S_S82_L001_R2_001.fastq.gz	959
2023-1-COM-SP-FL-2-16S_S84_L001_R1_001.fastq.gz	16256
2023-1-COM-SP-FL-2-16S_S84_L001_R2_001.fastq.gz	16256
2023-1-COM-SP-FL-3-16S_S86_L001_R1_001.fastq.gz	1726
2023-1-COM-SP-FL-3-16S_S86_L001_R2_001.fastq.gz	1726
2023-1-COM-SP-LE-1-16S_S83_L001_R1_001.fastq.gz	16067
2023-1-COM-SP-LE-1-16S_S83_L001_R2_001.fastq.gz	16067
2023-1-COM-SP-LE-2-16S_S85_L001_R1_001.fastq.gz	20098
2023-1-COM-SP-LE-2-16S_S85_L001_R2_001.fastq.gz	20098
2023-1-COM-SP-LE-3-16S_S87_L001_R1_001.fastq.gz	17701
2023-1-COM-SP-LE-3-16S_S87_L001_R2_001.fastq.gz	17701
2023-1-COM-SR-FL-1-16S_S94_L001_R1_001.fastq.gz	22591
2023-1-COM-SR-FL-1-16S_S94_L001_R2_001.fastq.gz	22591
2023-1-COM-SR-FL-2-16S_S98_L001_R1_001.fastq.gz	18173
2023-1-COM-SR-FL-2-16S_S98_L001_R2_001.fastq.gz	18173
2023-1-COM-SR-FL-3-16S_S100_L001_R1_001.fastq.gz	16319
2023-1-COM-SR-FL-3-16S_S100_L001_R2_001.fastq.gz	16319
2023-1-COM-SR-LE-1-16S_S97_L001_R1_001.fastq.gz	13696
2023-1-COM-SR-LE-1-16S_S97_L001_R2_001.fastq.gz	13696
2023-1-COM-SR-LE-2-16S_S99_L001_R1_001.fastq.gz	14159
2023-1-COM-SR-LE-2-16S_S99_L001_R2_001.fastq.gz	14159
2023-1-COM-SR-LE-3-16S_S101_L001_R1_001.fastq.gz	16089
2023-1-COM-SR-LE-3-16S_S101_L001_R2_001.fastq.gz	16089
2023-1-MIB-CL-LE-1-16S_S153_L001_R1_001.fastq.gz	1418
2023-1-MIB-CL-LE-1-16S_S153_L001_R2_001.fastq.gz	1418
2023-1-MIB-CL-LE-2-16S_S154_L001_R1_001.fastq.gz	2628
2023-1-MIB-CL-LE-2-16S_S154_L001_R2_001.fastq.gz	2628
2023-1-MIB-CL-LE-3-16S_S155_L001_R1_001.fastq.gz	19322
2023-1-MIB-CL-LE-3-16S_S155_L001_R2_001.fastq.gz	19322
2023-1-MIB-EM-LE-1-16S_S165_L001_R1_001.fastq.gz	18909
2023-1-MIB-EM-LE-1-16S_S165_L001_R2_001.fastq.gz	18909
2023-1-MIB-EM-LE-2-16S_S166_L001_R1_001.fastq.gz	20619
2023-1-MIB-EM-LE-2-16S_S166_L001_R2_001.fastq.gz	20619
2023-1-MIB-EM-LE-3-16S_S167_L001_R1_001.fastq.gz	21407
2023-1-MIB-EM-LE-3-16S_S167_L001_R2_001.fastq.gz	21407
2023-1-MIB-HC-LE-1-16S_S156_L001_R1_001.fastq.gz	17284
2023-1-MIB-HC-LE-1-16S_S156_L001_R2_001.fastq.gz	17284
2023-1-MIB-HC-LE-2-16S_S157_L001_R1_001.fastq.gz	18284
2023-1-MIB-HC-LE-2-16S_S157_L001_R2_001.fastq.gz	18284
2023-1-MIB-HC-LE-3-16S_S158_L001_R1_001.fastq.gz	27198
2023-1-MIB-HC-LE-3-16S_S158_L001_R2_001.fastq.gz	27198
2023-1-MIB-LI-LE-1-16S_S162_L001_R1_001.fastq.gz	23864
2023-1-MIB-LI-LE-1-16S_S162_L001_R2_001.fastq.gz	23864
2023-1-MIB-LI-LE-2-16S_S163_L001_R1_001.fastq.gz	24668
2023-1-MIB-LI-LE-2-16S_S163_L001_R2_001.fastq.gz	24668
2023-1-MIB-LI-LE-3-16S_S164_L001_R1_001.fastq.gz	22867
2023-1-MIB-LI-LE-3-16S_S164_L001_R2_001.fastq.gz	22867
2023-1-MIB-SP-LE-1-16S_S159_L001_R1_001.fastq.gz	6916
2023-1-MIB-SP-LE-1-16S_S159_L001_R2_001.fastq.gz	6916
2023-1-MIB-SP-LE-2-16S_S160_L001_R1_001.fastq.gz	1056
2023-1-MIB-SP-LE-2-16S_S160_L001_R2_001.fastq.gz	1056
2023-1-MIB-SP-LE-3-16S_S161_L001_R1_001.fastq.gz	5935
2023-1-MIB-SP-LE-3-16S_S161_L001_R2_001.fastq.gz	5935
2023-1-MIC-CL-LE-1-16S_S138_L001_R1_001.fastq.gz	17959
2023-1-MIC-CL-LE-1-16S_S138_L001_R2_001.fastq.gz	17959
2023-1-MIC-CL-LE-2-16S_S139_L001_R1_001.fastq.gz	2120
2023-1-MIC-CL-LE-2-16S_S139_L001_R2_001.fastq.gz	2120
2023-1-MIC-CL-LE-3-16S_S140_L001_R1_001.fastq.gz	1970
2023-1-MIC-CL-LE-3-16S_S140_L001_R2_001.fastq.gz	1970
2023-1-MIC-EM-LE-1-16S_S150_L001_R1_001.fastq.gz	15447
2023-1-MIC-EM-LE-1-16S_S150_L001_R2_001.fastq.gz	15447
2023-1-MIC-EM-LE-2-16S_S151_L001_R1_001.fastq.gz	12731
2023-1-MIC-EM-LE-2-16S_S151_L001_R2_001.fastq.gz	12731
2023-1-MIC-EM-LE-3-16S_S152_L001_R1_001.fastq.gz	1878
2023-1-MIC-EM-LE-3-16S_S152_L001_R2_001.fastq.gz	1878
2023-1-MIC-HC-LE-1-16S_S141_L001_R1_001.fastq.gz	15923
2023-1-MIC-HC-LE-1-16S_S141_L001_R2_001.fastq.gz	15923
2023-1-MIC-HC-LE-2-16S_S142_L001_R1_001.fastq.gz	18939
2023-1-MIC-HC-LE-2-16S_S142_L001_R2_001.fastq.gz	18939
2023-1-MIC-HC-LE-3-16S_S143_L001_R1_001.fastq.gz	19573
2023-1-MIC-HC-LE-3-16S_S143_L001_R2_001.fastq.gz	19573
2023-1-MIC-LI-LE-1-16S_S147_L001_R1_001.fastq.gz	16682
2023-1-MIC-LI-LE-1-16S_S147_L001_R2_001.fastq.gz	16682
2023-1-MIC-LI-LE-2-16S_S148_L001_R1_001.fastq.gz	121
2023-1-MIC-LI-LE-2-16S_S148_L001_R2_001.fastq.gz	121
2023-1-MIC-LI-LE-3-16S_S149_L001_R1_001.fastq.gz	10835
2023-1-MIC-LI-LE-3-16S_S149_L001_R2_001.fastq.gz	10835
2023-1-MIC-SP-LE-1-16S_S144_L001_R1_001.fastq.gz	20060
2023-1-MIC-SP-LE-1-16S_S144_L001_R2_001.fastq.gz	20060
2023-1-MIC-SP-LE-2-16S_S145_L001_R1_001.fastq.gz	6801
2023-1-MIC-SP-LE-2-16S_S145_L001_R2_001.fastq.gz	6801
2023-1-MIC-SP-LE-3-16S_S146_L001_R1_001.fastq.gz	14512
2023-1-MIC-SP-LE-3-16S_S146_L001_R2_001.fastq.gz	14512
2023-1-PMB-CL-FL-1-16S_S37_L001_R1_001.fastq.gz	18310
2023-1-PMB-CL-FL-1-16S_S37_L001_R2_001.fastq.gz	18310
2023-1-PMB-CL-FL-2-16S_S39_L001_R1_001.fastq.gz	7001
2023-1-PMB-CL-FL-2-16S_S39_L001_R2_001.fastq.gz	7001
